Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
33 1.01 1163.65 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
40 7000.00 904.95 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
23 1038.00 1148.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
34 1.01 1168.65 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0 0 4.92761
41 7000.00 909.95 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
18 3000.00 964.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
35 1.01 1163.75 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
28 2000.00 835.35 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
42 7000.00 905.05 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
36 1.01 1168.75 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
29 2000.00 830.45 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
24 1038.00 1143.25 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
17 500.00 1125.15 104.874693 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.2801 6.48393 4.30991 1.23957 0 5.053659364
37 1.01 1163.85 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
25 1038.00 1148.25 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
36 1500.00 1046.85 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
44 7000.00 905.15 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
26 1038.00 1143.35 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
31 2000.00 830.55 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
18 500.00 1122.15 104.874695 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.2801 6.48393 4.30991 1.23957 0 5.05365
39 1.01 1163.95 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0 0 3.02264
27 1038.00 1148.35 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
32 2000.00 835.55 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
40 1.01 1168.95 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
38 1500.00 1046.95 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
41 1.01 1164.05 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0 0 4.92761
20 3000.00 970.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
42 1.01 1169.05 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
28 1038.00 1143.45 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
29 1038.00 1148.45 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
19 500.00 1119.15 104.874696 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.2801 6.48393 4.30991 1.23957 0 5.05365
30 1038.00 1143.55 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
21 3000.00 973.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
35 2000.00 830.75 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
31 1038.00 1148.55 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
43 1.01 1164.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
36 2000.00 835.75 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
20 500.00 1116.15 104.874698 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.2801 6.48393 4.30991 1.23957 0 5.05365
32 1038.00 1143.65 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
44 1.01 1169.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 067 0 0
37 2000.00 830.85 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
33 1038.00 1148.65 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
34 1038.00 1143.75 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
38 2000.00 835.85 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
35 1038.00 1148.75 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
45 1.01 1164.25 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
39 2000.00 830.95 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
36 1038.00 1143.85 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
23 3000.00 979.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
