System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
49 2000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1181321.902154 281.245002 37.853059 149.285671 -222.889339 3151.637587 -7.242 -7.242 2.641794 0.000000 1.843 n/a n/a
51 3500.00 1250.00 100.000000 1.0000000000000000 1.000000 -1177289.245531 280.184109 37.505209 149.283861 -215.632033 3168.154400 -7.166 -7.166 2.666296 0.000000 1.867 n/a n/a
50 2000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1181769.757811 280.951835 37.843604 149.284766 -222.922372 3151.637587 -7.275 -7.275 2.642454 0.000000 1.855 n/a n/a
52 3500.00 1247.00 100.000000 1.0000000000000000 1.000000 -1177737.095752 279.889790 37.495704 149.282954 -215.665067 3168.154400 -7.200 -7.200 2.666972 0.000000 1.879 n/a n/a
53 1000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1186428.749463 280.383489 38.040702 149.282046 -227.903722 3140.626378 -7.475 -7.475 2.628763 0.000000 1.891 n/a n/a
53 5000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1173308.868875 279.118430 37.168145 149.282046 -208.374728 3184.671214 -7.093 -7.093 2.690476 0.000000 1.891 n/a n/a
53 3500.00 1244.00 100.000000 1.0000000000000000 1.000000 -1178184.943251 279.594892 37.486200 149.282046 -215.698101 3168.154400 -7.234 -7.234 2.667648 0.000000 1.891 n/a n/a
54 1000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1186876.594236 280.088009 38.031280 149.281136 -227.936755 3140.626378 -7.510 -7.510 2.629415 0.000000 1.903 n/a n/a
54 5000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1173756.713648 278.822949 37.158591 149.281136 -208.407762 3184.671214 -7.127 -7.127 2.691168 0.000000 1.903 n/a n/a
54 3500.00 1241.00 100.000000 1.0000000000000000 1.000000 -1178632.788024 279.299411 37.476695 149.281136 -215.731134 3168.154400 -7.269 -7.269 2.668325 0.000000 1.903 n/a n/a
55 1000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1187324.436280 279.791944 38.021858 149.280226 -227.969789 3140.626378 -7.545 -7.545 2.630066 0.000000 1.915 n/a n/a
55 5000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1174204.555693 278.526885 37.149037 149.280226 -208.440795 3184.671214 -7.162 -7.162 2.691860 0.000000 1.915 n/a n/a
55 3500.00 1238.00 100.000000 1.0000000000000000 1.000000 -1179080.630068 279.003347 37.467191 149.280226 -215.764168 3168.154400 -7.303 -7.303 2.669002 0.000000 1.915 n/a n/a
54 2000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1183561.153245 279.773396 37.805785 149.281136 -223.054507 3151.637587 -7.413 -7.413 2.645098 0.000000 1.903 n/a n/a
56 5000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1174652.395005 278.230234 37.139483 149.279315 -208.473829 3184.671214 -7.196 -7.196 2.692552 0.000000 1.927 n/a n/a
56 3500.00 1235.00 100.000000 1.0000000000000000 1.000000 -1179528.469380 278.706696 37.457687 149.279315 -215.797201 3168.154400 -7.338 -7.338 2.669679 0.000000 1.927 n/a n/a
55 2000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1184008.995289 279.477331 37.796330 149.280226 -223.087540 3151.637587 -7.447 -7.447 2.645760 0.000000 1.915 n/a n/a
57 5000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1175100.231582 277.932994 37.129929 149.278403 -208.506862 3184.671214 -7.231 -7.231 2.693245 0.000000 1.939 n/a n/a
57 3500.00 1232.00 100.000000 1.0000000000000000 1.000000 -1179976.305957 278.409455 37.448182 149.278403 -215.830235 3168.154400 -7.373 -7.373 2.670357 0.000000 1.939 n/a n/a
58 5000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1175548.065420 277.635162 37.120375 149.277489 -208.539896 3184.671214 -7.266 -7.266 2.693938 0.000000 1.951 n/a n/a
58 3500.00 1229.00 100.000000 1.0000000000000000 1.000000 -1180424.139796 278.111624 37.438678 149.277489 -215.863269 3168.154400 -7.408 -7.408 2.671035 0.000000 1.951 n/a n/a
57 2000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1184904.671178 278.883440 37.777420 149.278403 -223.153608 3151.637587 -7.517 -7.517 2.647084 0.000000 1.939 n/a n/a
59 3500.00 1226.00 100.000000 1.0000000000000000 1.000000 -1180871.970893 277.813199 37.429173 149.276575 -215.896302 3168.154400 -7.443 -7.443 2.671713 0.000000 1.963 n/a n/a
58 2000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1185352.505017 278.585609 37.767965 149.277489 -223.186641 3151.637587 -7.552 -7.552 2.647747 0.000000 1.951 n/a n/a
60 3500.00 1223.00 100.000000 1.0000000000000000 1.000000 -1181319.799245 277.514179 37.419669 149.275660 -215.929336 3168.154400 -7.478 -7.478 2.672391 0.000000 1.975 n/a n/a
59 2000.00 1226.00 100.000000 1.0000000000000000 1.000000 -1185800.336114 278.287184 37.758510 149.276575 -223.219675 3151.637587 -7.588 -7.588 2.648410 0.000000 1.963 n/a n/a
61 1000.00 1220.00 100.000000 1.0000000000000000 1.000000 -1190011.431062 278.003157 37.965327 149.274743 -228.167991 3140.626378 -7.757 -7.757 2.633982 0.000000 1.988 n/a n/a
